Region,Project Name,Type,Location,Status,Source
Noordwest-Nederland,A1/A6/A9 Schiphol-Amsterdam-Almere,Road,Schiphol/Amsterdam/Almere,Construction (Aanleg),"MIRT 2026, p.187"
Noordwest-Nederland,ZuidasDok,Road/Rail,Amsterdam Zuidas,Construction (Aanleg),"MIRT 2026, p.194"
Noordwest-Nederland,A27/A12 Ring Utrecht,Road,Utrecht,Construction (Aanleg),"MIRT 2026, p.192"
Noordwest-Nederland,A10 Knooppunten De Nieuwe Meer en Amstel,Road,Amsterdam,Construction (Aanleg),"MIRT 2026, p.189"
Noordwest-Nederland,Afsluitdijk,Water/Road,Afsluitdijk,Construction (Aanleg),"MIRT 2026, p.212"
Noordwest-Nederland,Zeetoegang IJmond (Nieuwe Sluis),Water,IJmuiden,Construction (Aanleg),"MIRT 2026, p.210"
Noordwest-Nederland,PHS Amsterdam,Rail,Amsterdam Centraal,Construction (Aanleg),"MIRT 2026, p.203"
Noordwest-Nederland,SBaB (Samen Bouwen aan Bereikbaarheid),Program,Metropoolregio Amsterdam,Program,"MIRT 2026, p.155"
Noordwest-Nederland,A7/A8 Amsterdam-Hoorn,Road,Amsterdam/Hoorn,Paused (Planning),"MIRT 2026, p.173"
Noordwest-Nederland,A6 Almere Oostvaarders-Lelystad,Road,Almere/Lelystad,Paused (Planning),"MIRT 2026, p.171"
Noordwest-Nederland,A28/A1 Knooppunt Hoevelaken,Road,Amersfoort,Paused (Planning),"MIRT 2026, p.175"
Zuidwest-Nederland,A16 Rotterdam,Road,Rotterdam North,Construction (Aanleg),"MIRT 2026, p.253"
Zuidwest-Nederland,RijnlandRoute,Road,Katwijk/Leiden,Construction (Aanleg),"MIRT 2026, p.255"
Zuidwest-Nederland,Nieuwe Sluis Terneuzen,Water,Terneuzen,Construction (Aanleg),"MIRT 2026, p.270"
Zuidwest-Nederland,Mainportontwikkeling Rotterdam,Water/Logistics,Port of Rotterdam,Construction (Aanleg),"MIRT 2026, p.272"
Zuidwest-Nederland,PHS Rijswijk-Rotterdam,Rail,Rijswijk/Rotterdam,Construction (Aanleg),"MIRT 2026, p.264"
Zuidwest-Nederland,MoVe (Mobiliteit en Verstedelijking),Program,Rotterdam/Den Haag,Program,"MIRT 2026, p.224"
Zuidwest-Nederland,Oude Lijn,Rail/Housing,Leiden-Dordrecht,Exploration (Verkenning),"MIRT 2026, p.232"
Zuidwest-Nederland,De Vlietlijn (CID Binckhorst),OV/Housing,Den Haag/Binckhorst,Planning,"MIRT 2026, p.242"
Zuidwest-Nederland,Oostflank Rotterdam (Stadsbrug & OV),Bridge/Housing,Rotterdam,Planning,"MIRT 2026, p.244"
Zuidwest-Nederland,A4 Haaglanden-N14,Road,Den Haag,Paused (Planning),"MIRT 2026, p.236"
Zuidwest-Nederland,A15 Papendrecht-Gorinchem,Road,Gorinchem,Paused (Verkenning),"MIRT 2026, p.227"
Zuidwest-Nederland,A4 Burgerveen-N14,Road,Leiden,Paused (Planning),"MIRT 2026, p.234"
Zuid-Nederland,A2 Het Vonderen-Kerensheide,Road,Limburg,Construction (Aanleg),"MIRT 2026, p.318"
Zuid-Nederland,A27 Houten-Hooipolder,Road,Noord-Brabant/Utrecht,Construction (Aanleg),"MIRT 2026, p.320"
Zuid-Nederland,Maaslijn,Rail,Nijmegen-Roermond,Construction (Aanleg),"MIRT 2026, p.325"
Zuid-Nederland,Meanderende Maas,Water,Ravenstein-Lith,Construction (Aanleg),"MIRT 2026, p.335"
Zuid-Nederland,PHS Meteren-Boxtel,Rail,Vught/Boxtel,Construction (Aanleg),"MIRT 2026, p.327"
Zuid-Nederland,A2/N2 Brainport,Road,Eindhoven,Exploration (Verkenning),"MIRT 2026, p.291"
Zuid-Nederland,SmartwayZ.NL,Program,Zuid-Nederland,Program,"MIRT 2026, p.286"
Zuid-Nederland,A58 Tilburg-Breda,Road,Tilburg/Breda,Paused (Verkenning),"MIRT 2026, p.289"
Zuid-Nederland,A67 Leenderheide-Geldrop,Road,Eindhoven,Paused (Planning),"MIRT 2026, p.304"
Zuid-Nederland,A2 Deil-Vught,Road,Den Bosch,Paused (Planning),"MIRT 2026, p.300"
