Region,Project Name,Type,Location,Status,Source,Dates
Noordwest-Nederland,A1/A6/A9 Schiphol-Amsterdam-Almere,Road,Schiphol/Amsterdam/Almere,Construction (Aanleg),"MIRT 2026, p.187","2021, 2022, 2023, 2025, 2026, 2027"
Noordwest-Nederland,ZuidasDok,Road/Rail,Amsterdam Zuidas,Construction (Aanleg),"MIRT 2026, p.194","2022, 2023, 2024, 2025, 2026, 2032-2036"
Noordwest-Nederland,A27/A12 Ring Utrecht,Road,Utrecht,Construction (Aanleg),"MIRT 2026, p.192","2019, 2020, 2022, 2023, 2024, 2025, 2026"
Noordwest-Nederland,A10 Knooppunten De Nieuwe Meer en Amstel,Road,Amsterdam,Construction (Aanleg),"MIRT 2026, p.189","2023, 2024, 2025, 2026, 2032-2036"
Noordwest-Nederland,Afsluitdijk,Water/Road,Afsluitdijk,Construction (Aanleg),"MIRT 2026, p.212","2022, 2023, 2024, 2025, 2026, 2050"
Noordwest-Nederland,Zeetoegang IJmond (Nieuwe Sluis),Water,IJmuiden,Construction (Aanleg),"MIRT 2026, p.210","2020, 2021, 2022, 2023, 2024, 2025, 2026"
Noordwest-Nederland,PHS Amsterdam,Rail,Amsterdam Centraal,Construction (Aanleg),"MIRT 2026, p.203","2024, 2025, 2026, 2032, 2040"
Noordwest-Nederland,SBaB (Samen Bouwen aan Bereikbaarheid),Program,Metropoolregio Amsterdam,Program,"MIRT 2026, p.155","2021-2024, 2024, 2024-2026, 2025, 2026, 2030, 2040, 2050"
Noordwest-Nederland,A7/A8 Amsterdam-Hoorn,Road,Amsterdam/Hoorn,Paused (Planning),"MIRT 2026, p.173","2020, 2021, 2025, 2026"
Noordwest-Nederland,A6 Almere Oostvaarders-Lelystad,Road,Almere/Lelystad,Paused (Planning),"MIRT 2026, p.171","2021, 2022, 2025, 2026"
Noordwest-Nederland,A28/A1 Knooppunt Hoevelaken,Road,Amersfoort,Paused (Planning),"MIRT 2026, p.175","2021, 2022, 2023, 2024, 2025, 2026"
Zuidwest-Nederland,A16 Rotterdam,Road,Rotterdam North,Construction (Aanleg),"MIRT 2026, p.253","2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026"
Zuidwest-Nederland,RijnlandRoute,Road,Katwijk/Leiden,Construction (Aanleg),"MIRT 2026, p.255","2020-2022, 2022, 2023, 2023-2025, 2024, 2025, 2026, 2027"
Zuidwest-Nederland,Nieuwe Sluis Terneuzen,Water,Terneuzen,Construction (Aanleg),"MIRT 2026, p.270","2021, 2022, 2023, 2024, 2025, 2026"
Zuidwest-Nederland,Mainportontwikkeling Rotterdam,Water/Logistics,Port of Rotterdam,Construction (Aanleg),"MIRT 2026, p.272","2017, 2020, 2021, 2024, 2025, 2026, 2040"
Zuidwest-Nederland,PHS Rijswijk-Rotterdam,Rail,Rijswijk/Rotterdam,Construction (Aanleg),"MIRT 2026, p.264","2020, 2021, 2022, 2023, 2024, 2024-2026, 2025, 2026, 2030"
