Name,Latitude,Longitude,Demand Volume (estimate tons),hub_assigned,hub_lat,hub_lon,hub_total_demand
Lelylijn,52.8,5.9,7500000,2,51.9007,5.7561,90800000
Lauwersmeer-Vierhuizergat,53.4,6.22,500000,2,51.9007,5.7561,90800000
Pilot Buitendijkse Slibsedimentatie,53.33,6.93,100000,2,51.9007,5.7561,90800000
OV-verbinding Amsterdam - Haarlemmermeer,52.31,4.68,195000000,1,52.2888,4.6668,299120000
Multimodale knoop Schiphol,52.308,4.764,300000,1,52.2888,4.6668,299120000
Verbeteren vaargeul IJsselmeer (Amsterdam - Lemmer),52.75,5.4,5000000,1,52.2888,4.6668,299120000
Zeetoegang IJmond,52.46,4.6,4000000,1,52.2888,4.6668,299120000
N35 Wijthmen-Nijverdal,52.4333,6.3333,2500000,2,51.9007,5.7561,90800000
Goederenroute Elst-Deventer-Twente (NaNOV),52.25,6.15,1000000,2,51.9007,5.7561,90800000
PHS Ede,52.03,5.67,300000,2,51.9007,5.7561,90800000
Emplacement Den Haag Centraal,52.0805,4.3268,150000,1,52.2888,4.6668,299120000
PHS Rijswijk-Rotterdam,51.9225,4.4791,2500000,1,52.2888,4.6668,299120000
Bereikbaarheid Ameland,53.4,5.85,3000000,2,51.9007,5.7561,90800000
OV-verbinding Sloterdijk - Amsterdam Centrum,52.38,4.86,31800000,1,52.2888,4.6668,299120000
A1/A6/A9 Schiphol-Amsterdam-Almere,52.3,4.9,5000000,1,52.2888,4.6668,299120000
Traject Oost,52.05,5.4,150000,2,51.9007,5.7561,90800000
A2/N2,51.44,5.43,2500000,2,51.9007,5.7561,90800000
Lob van Gennep,51.7,5.97,2500000,2,51.9007,5.7561,90800000
Oeffelt,51.69,5.94,800000,2,51.9007,5.7561,90800000
Maaslijn,51.55,6,800000,2,51.9007,5.7561,90800000
"Maasroute, Modernisering fase 2",51.2,5.8,2000000,2,51.9007,5.7561,90800000
Grensmaas,51.05,5.75,2500000,2,51.9007,5.7561,90800000
Rijnlandroute,52.16,4.45,2500000,1,52.2888,4.6668,299120000
Besluit Beheer Haringvlietsluizen,51.8314,4.0536,20000,1,52.2888,4.6668,299120000
Zandsuppletie Galgeplaat,51.6021,3.9452,1500000,1,52.2888,4.6668,299120000
A1/A30 Barneveld,52.14,5.58,800000,2,51.9007,5.7561,90800000
A28 Amersfoort-Hoogeveen,52.5167,6.0833,600000,2,51.9007,5.7561,90800000
RegioExpres,51.96,6.28,1500000,2,51.9007,5.7561,90800000
PHS Nijmegen,51.84,5.85,400000,2,51.9007,5.7561,90800000
Zuidelijk Maasdal,50.85,5.69,2500000,2,51.9007,5.7561,90800000
"Vaarweg Lemmer-Delfzijl, fase 2",53.2,6.3,1000000,2,51.9007,5.7561,90800000
Koehool-Lauwersmeer,53.35,5.85,400000,2,51.9007,5.7561,90800000
Verruiming Sluiscomplex Kornwerderzand,53.07,5.33,1500000,1,52.2888,4.6668,299120000
A2 Het Vonderen-Kerensheide,51.04,5.82,2500000,2,51.9007,5.7561,90800000
Calandbrug (Theemswegtracé),51.89,4.18,2500000,1,52.2888,4.6668,299120000
Noord-Hollandse Markermeerkust,52.5,5.05,1000000,1,52.2888,4.6668,299120000
